127.0.0.1 - - [18/Jul/2025:08:47:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jul/2025:08:47:03 +0530] "GET /JSPPARAMDEMO/Product.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [18/Jul/2025:08:47:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jul/2025:08:58:59 +0530] "GET /JSPPARAMDEMO/Product.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [18/Jul/2025:08:59:15 +0530] "POST /JSPPARAMDEMO/ProductController.jsp HTTP/1.1" 500 2719
0:0:0:0:0:0:0:1 - - [18/Jul/2025:08:59:53 +0530] "GET /JSPPARAMDEMO/Product.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [18/Jul/2025:08:59:57 +0530] "POST /JSPPARAMDEMO/ProductController.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [18/Jul/2025:09:01:08 +0530] "POST /JSPPARAMDEMO/ProductController.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [18/Jul/2025:09:01:31 +0530] "GET /JSPPARAMDEMO/Show.jsp HTTP/1.1" 500 2570
